               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.029764,            0.035638,           0.0025744,             0.78162,             0.83825,             0.84452,             0.53216,            0.031249,            0.023008,           0.0048852,            0.007723,            0.007723,            0.007723
                 140,            0.030117,            0.036153,           0.0021111,             0.78167,             0.80944,             0.84251,              0.5106,            0.033287,            0.023226,           0.0042915,           0.0077065,           0.0077065,           0.0077065
                 141,            0.030327,            0.034929,           0.0019544,              0.7581,             0.86096,              0.8453,             0.53019,            0.032373,            0.023088,           0.0041971,             0.00769,             0.00769,             0.00769
                 142,            0.030134,            0.037614,            0.002605,             0.74583,             0.78534,             0.82641,             0.51438,            0.035001,            0.023186,           0.0047421,           0.0076735,           0.0076735,           0.0076735
                 143,            0.030219,             0.03499,           0.0021373,              0.7747,             0.78413,             0.84149,             0.55415,            0.031821,            0.024307,           0.0044446,            0.007657,            0.007657,            0.007657
                 144,            0.029718,            0.035494,           0.0022641,             0.71955,             0.82062,              0.8313,             0.51035,            0.034003,            0.025406,           0.0052857,           0.0076405,           0.0076405,           0.0076405
                 145,            0.029541,            0.035335,           0.0021347,             0.79307,             0.56607,             0.66502,             0.40283,            0.038046,            0.032433,            0.018797,            0.007624,            0.007624,            0.007624
                 146,            0.029489,            0.034893,           0.0024253,             0.77873,             0.74141,             0.79835,             0.50214,            0.034503,            0.025137,           0.0054431,           0.0076075,           0.0076075,           0.0076075
                 147,            0.029959,            0.034238,            0.002257,             0.77143,             0.74486,             0.83709,             0.52854,            0.032512,            0.023415,           0.0049367,            0.007591,            0.007591,            0.007591
                 148,            0.029847,            0.033973,           0.0023961,             0.81424,             0.72775,             0.82324,             0.51056,            0.032888,            0.023655,           0.0048122,           0.0075745,           0.0075745,           0.0075745
                 149,            0.030402,            0.035371,           0.0022972,             0.78332,             0.76614,             0.83893,             0.52463,            0.032371,            0.024136,           0.0046477,            0.007558,            0.007558,            0.007558
                 150,            0.029977,             0.03535,           0.0024033,             0.75031,             0.80031,             0.82301,             0.49089,            0.034017,            0.024061,           0.0048895,           0.0075415,           0.0075415,           0.0075415
                 151,            0.029759,            0.034967,           0.0020234,             0.73981,             0.81022,             0.84291,             0.51571,            0.034305,             0.02298,           0.0051885,            0.007525,            0.007525,            0.007525
                 152,            0.030006,            0.036148,           0.0019071,             0.74439,              0.8284,             0.85027,             0.53769,            0.031393,            0.022779,           0.0045218,           0.0075085,           0.0075085,           0.0075085
                 153,             0.02976,            0.036165,           0.0019634,             0.72532,             0.81046,             0.84905,             0.53518,            0.033055,            0.022802,           0.0045204,            0.007492,            0.007492,            0.007492
                 154,            0.029223,            0.036284,           0.0022357,             0.70702,             0.80913,             0.82531,             0.50863,             0.03252,            0.023455,           0.0065718,           0.0074755,           0.0074755,           0.0074755
                 155,            0.029498,            0.033707,           0.0020282,             0.72805,             0.83565,             0.85202,             0.54479,            0.030582,            0.023426,           0.0049624,            0.007459,            0.007459,            0.007459
                 156,            0.029579,            0.033152,           0.0022273,             0.74341,             0.78835,             0.82594,             0.50125,            0.032649,            0.023741,           0.0044417,           0.0074425,           0.0074425,           0.0074425
